datum;uitspoeling;afstroming;verhouding
1996-01-02;24675.0789935639;0;100
1996-01-03;20732.8702786451;0;100
1996-01-04;17651.0812432615;0;100
1996-01-05;15232.12415248;0;100
1996-01-06;13224.9576962794;0;100
1996-01-07;12139.4839679677;0;100
1996-01-08;11303.6143604418;0;100
1996-01-09;10010.9138066046;0;100
1996-01-10;9096.72742278029;0;100
1996-01-11;8353.98411643214;0;100
1996-01-12;7550.51234127042;0;100
1996-01-13;6759.67462799138;0;100
1996-01-14;6083.84701383779;0;100
1996-01-15;5498.32040776578;0;100
1996-01-16;4988.42990928034;0;100
1996-01-17;4564.23077763742;0;100
1996-01-18;4211.98814413532;0;100
1996-01-19;4021.85495562392;0;100
1996-01-20;3761.8544538348;0;100
1996-01-21;3526.73483704843;0;100
1996-01-22;3267.22507319692;0;100
1996-01-23;3092.87524232966;0;100
1996-01-24;2896.7837072889;0;100
1996-01-25;2720.24732484649;0;100
1996-01-26;2572.05160867498;0;100
1996-01-27;2515.95114195485;0;100
1996-01-28;2396.72185938838;0;100
1996-01-29;2236.31273533464;0;100
1996-01-30;2153.15026526518;0;100
1996-01-31;2039.09472755445;0;100
1996-02-01;1931.0606063596;0;100
1996-02-02;1833.14645616766;0;100
1996-02-03;1799.63335843969;0;100
1996-02-04;1832.86204101052;0;100
1996-02-05;1747.66384898463;0;100
1996-02-06;1670.96475542687;0;100
1996-02-07;1595.22326339601;0;100
1996-02-08;1600.48272580374;0;100
1996-02-09;1568.50267719141;0;100
1996-02-10;1792.02583717192;0;100
1996-02-11;2302.13976380534;0;100
1996-02-12;3248.82018159413;0;100
1996-02-13;6893.37197723484;0;100
1996-02-14;5860.66358003655;0;100
1996-02-15;4975.33340145268;0;100
1996-02-16;4431.5839582538;0;100
1996-02-17;4087.85109472481;0;100
1996-02-18;6366.45245225237;625.117109630249;96.4186046511628
1996-02-19;7395.3291580315;274.160094811915;95.6744186046512
1996-02-20;7141.98713317068;0;100
1996-02-21;6218.80941287694;0;100
1996-02-22;5312.9928401888;0;100
1996-02-23;4542.82286523466;0;100
1996-02-24;3948.79470235622;0;100
1996-02-25;4131.75347421555;161.455593378238;97.0697674418605
1996-02-26;4617.37900560962;0;100
1996-02-27;4151.46096699459;0;100
1996-02-28;3698.46020306768;0;100
1996-02-29;3251.25048951715;0;100
1996-03-01;2898.32556328324;0;100
1996-03-02;2743.02300482649;0;100
1996-03-03;3061.30368452737;0;100
1996-03-04;2719.9917656007;63.9357956246819;97.7619047619048
1996-03-05;3099.42056645768;3.69538404219963;99.1395348837209
1996-03-06;3043.7878956556;12.6112312551259;98.4047619047619
1996-03-07;3001.04337669534;0;100
1996-03-08;2731.22622783518;0;100
1996-03-09;2323.75483871282;0;100
1996-03-10;2023.23523449424;0;100
1996-03-11;1852.77903001261;0;100
1996-03-12;1740.49167422439;0;100
1996-03-13;1612.87260710988;0;100
1996-03-14;1507.59084193276;0;100
1996-03-15;1407.21044589499;0;100
1996-03-16;1330.6417386322;0;100
1996-03-17;1315.52942069055;0;100
1996-03-18;1321.88599203671;0;100
1996-03-19;1306.83540080909;0;100
1996-03-20;1307.28875748408;0;100
1996-03-21;1251.49095158832;0;100
1996-03-22;1336.74465905741;0;100
1996-03-23;1366.34496234745;0;100
1996-03-24;1379.37690425304;0;100
1996-03-25;1344.40713086983;0;100
1996-03-26;1234.41961948629;0;100
1996-03-27;1239.86410113619;0;100
1996-03-28;1112.80582212737;0;100
1996-03-29;1210.30601371753;0;100
1996-03-30;1242.15826501825;0;100
1996-03-31;1528.41142240086;0;100
1996-04-01;1319.71962653699;0;100
1996-04-02;1184.94539588758;0;100
1996-04-03;1122.54426757061;0;100
1996-04-04;1076.86082825064;0;100
1996-04-05;1024.27373714782;0;100
1996-04-06;978.061723418686;0;100
1996-04-07;970.901976683928;0;100
1996-04-08;945.815897179832;0;100
1996-04-09;923.892253336283;0;100
1996-04-10;906.902083584248;0;100
1996-04-11;1365.54568078947;0;100
1996-04-12;1558.34435980535;0;100
1996-04-13;1180.54235207987;0;100
1996-04-14;1039.05857122709;0;100
1996-04-15;920.793417476906;0;100
1996-04-16;868.919962502385;0;100
1996-04-17;835.53788281771;0;100
1996-04-18;804.291429827845;0;100
1996-04-19;785.498739680378;0;100
1996-04-20;763.443311230318;0;100
1996-04-21;739.667498700904;0;100
1996-04-22;707.646622115643;0;100
1996-04-23;684.344609488956;0;100
1996-04-24;673.235928700585;0;100
1996-04-25;655.831497124772;0;100
1996-04-26;633.955233139358;0;100
1996-04-27;616.047268644068;0;100
1996-04-28;596.907424906241;0;100
1996-04-29;581.18250308374;0;100
1996-04-30;576.944983761521;0;100
1996-05-01;572.437001858392;0;100
1996-05-02;569.239669387017;0;100
1996-05-03;570.660938090103;0;100
1996-05-04;623.091881196556;0;100
1996-05-05;619.354832670506;0;100
1996-05-06;607.686674860407;0;100
1996-05-07;592.310117551741;0;100
1996-05-08;581.988016648481;0;100
1996-05-09;575.831047747866;0;100
1996-05-10;569.701420546521;0;100
1996-05-11;575.009061870584;0;100
1996-05-12;577.746045076104;0;100
1996-05-13;581.330541949573;0;100
1996-05-14;585.307210082933;0;100
1996-05-15;586.737973178905;0;100
1996-05-16;582.058551357703;0;100
1996-05-17;906.397594480977;0;100
1996-05-18;882.584751224838;0;100
1996-05-19;854.275006671771;0;100
1996-05-20;696.719178231748;0;100
1996-05-21;614.738479974537;0;100
1996-05-22;604.545422482117;0;100
1996-05-23;1325.11818188304;0;100
1996-05-24;1067.12059062412;0;100
1996-05-25;2306.00585692447;0;100
1996-05-26;1857.80038338183;0;100
1996-05-27;2229.95688077382;0;100
1996-05-28;1881.33514931616;0;100
1996-05-29;1040.29115318528;0;100
1996-05-30;835.50659770845;0;100
1996-05-31;664.932861901986;0;100
1996-06-01;618.572292408223;0;100
1996-06-02;603.253894757019;0;100
1996-06-03;591.855415098818;0;100
1996-06-04;579.546010633734;0;100
1996-06-05;573.059882025167;0;100
1996-06-06;559.535080609953;0;100
1996-06-07;558.789820634733;0;100
1996-06-08;558.4471638698;0;100
1996-06-09;558.294026579959;0;100
1996-06-10;558.206845721004;0;100
1996-06-11;559.859030876602;0;100
1996-06-12;574.745274330384;0;100
1996-06-13;565.296683961832;0;100
1996-06-14;557.540978527991;0;100
1996-06-15;557.361000890953;0;100
1996-06-16;557.046788071934;0;100
1996-06-17;556.735628481091;0;100
1996-06-18;556.406011561926;0;100
1996-06-19;556.158290555986;0;100
1996-06-20;556.063192776195;0;100
1996-06-21;555.933131370597;0;100
1996-06-22;555.983118759279;0;100
1996-06-23;565.356744338586;0;100
1996-06-24;568.381529529507;0;100
1996-06-25;570.16949386216;0;100
1996-06-26;572.954283818703;0;100
1996-06-27;565.48488970196;0;100
1996-06-28;562.955680489506;0;100
1996-06-29;1169.46536294988;0;100
1996-06-30;1318.73587329399;0;100
1996-07-01;1850.45176801701;0;100
1996-07-02;1397.73427805118;0;100
1996-07-03;823.58917755047;0;100
1996-07-04;1665.03181192282;0;100
1996-07-05;934.640541839821;0;100
1996-07-06;3349.93742585588;0;100
1996-07-07;3958.06254503302;0;100
1996-07-08;2917.79724240424;0;100
1996-07-09;2275.44486641059;0;100
1996-07-10;2649.05306122021;0;100
1996-07-11;2074.15598115728;0;100
1996-07-12;1308.00833911625;0;100
1996-07-13;910.354891677862;0;100
1996-07-14;789.527211298064;0;100
1996-07-15;759.183117762151;0;100
1996-07-16;698.595869821622;0;100
1996-07-17;676.029680480888;0;100
1996-07-18;652.660862945028;0;100
1996-07-19;642.397657760434;0;100
1996-07-20;627.655063612034;0;100
1996-07-21;608.781928032659;0;100
1996-07-22;594.970589255208;0;100
1996-07-23;580.743227980915;0;100
1996-07-24;575.093751062013;0;100
1996-07-25;703.553728489695;0;100
1996-07-26;703.837852167392;0;100
1996-07-27;630.087068798549;0;100
1996-07-28;627.40282579269;0;100
1996-07-29;604.363064626052;0;100
1996-07-30;591.555164360893;0;100
1996-07-31;585.653190404543;0;100
1996-08-01;586.072935531556;0;100
1996-08-02;586.546589016292;0;100
1996-08-03;576.932420428333;0;100
1996-08-04;572.724136706026;0;100
1996-08-05;563.219734051506;0;100
1996-08-06;553.953136668988;0;100
1996-08-07;581.993367456253;0;100
1996-08-08;593.467881038643;0;100
1996-08-09;564.547605902457;0;100
1996-08-10;553.751892107342;0;100
1996-08-11;595.841458087588;0;100
1996-08-12;778.55953378256;0;100
1996-08-13;2379.9265656922;0;100
1996-08-14;1745.81817416299;0;100
1996-08-15;1215.49358532029;0;100
1996-08-16;966.694887791067;0;100
1996-08-17;846.465375862889;0;100
1996-08-18;676.786360280785;0;100
1996-08-19;633.070186608359;0;100
1996-08-20;591.189954762782;0;100
1996-08-21;606.104031958954;0;100
1996-08-22;610.199257372258;0;100
1996-08-23;578.973402028892;0;100
1996-08-24;605.44459324749;0;100
1996-08-25;797.059175427709;0;100
1996-08-26;1374.30533830971;0;100
1996-08-27;890.263033018256;0;100
1996-08-28;893.978855363357;0;100
1996-08-29;4153.65976296388;0;100
1996-08-30;5297.04488216659;0;100
1996-08-31;4364.02517544752;0;100
1996-09-01;3438.31651554031;0;100
1996-09-02;2622.48215646699;0;100
1996-09-03;1920.43553474275;0;100
1996-09-04;1353.87412485797;0;100
1996-09-05;1197.35736962154;0;100
1996-09-06;974.98712126268;0;100
1996-09-07;879.899542444447;0;100
1996-09-08;820.112649242724;0;100
1996-09-09;786.442537218326;0;100
1996-09-10;767.149769745829;0;100
1996-09-11;773.12213269045;0;100
